본부,사업년도,RAPA식별코드,공사명,건물명/도로명,건물명 출처,유형,주용도,공사구분,시도,시군구,읍면동,번,지,리,시도_보정,시군구_보정,읍면동_보정,리_보정,번_보정,지_보정,대지구분,대지면적,연면적(지상),연면적(지하),연면적(합계),지상층수,지하층수,동,세대수,EV 설치 예상 대수,주차대수,세대당주차대수,도로구간(m),준공예정일,수정 준공예정일,입주자사전점검일,준공사,주소,공동망,관로동,위도,경도,RAPA등록_검증,준공예정일_검증,동수_검증,층수_검증,위경도_검증,최종검증결과
동부,2027,m-RAPA-2202-0846,대구 신암동 삼정그린코아 더베스트,신암동 삼정그린코아 더베스트,APT,500세대 이상,-,-,대구광역시,동구,신암동,225,4,-,-,-,-,-,-,-,대지,-,107027.2705,62882.2854,169909.5559,23,4,10,850,20,-,1.3,-,2027-12-30,-,2027-11-14,SKT,대구광역시 동구 신암동 225 4,미등록,"101,102,103,105,106,000",35.8815054,128.6229404,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2208-4903,송도자이풍경채그라노블4단지아파트,송도자이풍경채그라노블4단지아파트,APT,아파트,공동주택,건물,인천광역시,연수구,송도동,553,-,-,-,-,-,-,-,-,대지,-,83542.4613,42384.7853,125927.2466,47,2,2,504,4,-,1.3,-,2027-12-30,-,2027-11-14,LGU+,인천광역시 연수구 송도동 553,미등록,"14,011,402",37.378391,126.677678,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-1811-6729,성남도환중1구역 도시환경정비사업(2BL),해링턴 플레이스 신흥역,APT,500세대 이상,-,-,경기도,성남시 중원구,중앙동,912,-,-,-,-,-,-,-,-,대지,-,67039.0847,37252.1618,104291.2465,35,4,6,640,12,-,1.3,-,2027-12-30,-,2027-11-14,SKT,경기도 성남시 중원구 중앙동 912,단독,상세참조,37.44064497,127.1494202,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-1909-5217,구리 딸기원2지구 2단지 주택재개발정비사업,중흥S-클래스 힐더포레,APT,500세대 미만,-,-,경기도,구리시,교문동,339,-,-,-,-,-,-,-,-,대지,-,29547.44,17109.1,46656.54,15,3,6,298,12,-,1.3,-,2027-12-30,-,2027-11-14,RAPA,경기도 구리시 교문동 339,미등록,해당없음,37.59979497,127.1189646,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-1712-03-02-2847,행신 2-1구역 주택재건축 정비사업,행신한신더휴,APT,500세대 미만,-,-,경기도,고양시 덕양구,행신동,173,1,-,-,-,-,-,-,-,대지,-,27704.3619,16759.5883,44463.9502,17,2,4,272,8,-,1.3,-,2027-12-30,-,2027-11-15,RAPA,경기도 고양시 덕양구 행신동 173 1,미등록,해당사항없음,37.6204766,126.8445206,등록,-,-,-,-,미검증
서부,2027,m-RAPA-2004-1807,고랑동 광신프로그레스 공동주택 신축공사,북전주 광신프로그레스,APT,500세대 미만,-,-,전북특별자치도,전주시 덕진구,고랑동,742,-,-,-,-,-,-,-,-,대지,-,42743.3294,15234.4262,57977.7556,24,1,6,384,12,-,1.3,-,2027-12-30,-,2027-11-14,RAPA,전북특별자치도 전주시 덕진구 고랑동 742,미등록,해당없음,35.87489512,127.0848734,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2308-2831,수원당수 1지구 C3블록 공동주택 신축공사,-,APT,500세대 미만,-,-,경기도,수원시 권선구,금곡동,수원당수 공공주택지구,C3,-,-,-,-,-,-,-,블록,-,49303.5325,36310.4324,85613.9649,19,2,10,452,20,-,1.3,-,2027-12-30,-,2027-11-11,RAPA,경기도 수원시 권선구 금곡동 수원당수 공공주택지구 C3,단독,해당없음,37.28062325,126.9453788,등록,-,-,-,-,미검증
동부,2027,m-RAPA-1902-0701,무거동 공동주택 신축공사,무거 비스타동원,APT,미만+다중,-,-,울산광역시,남구,무거동,822,1,-,-,-,-,-,-,-,대지,-,73623.4176,44600.5399,118223.9575,38,6,4,481,8,-,1.3,-,2027-12-30,-,2027-11-15,SKT,울산광역시 남구 무거동 822 1,단독,해당사항없음,35.54994042,129.2594716,등록,-,-,-,-,미검증
중부,2027,m-RAPA-2304-1562,아산탕정자이퍼스트시티아파트,아산탕정자이퍼스트시티아파트,APT,아파트,공동주택,건물,충청남도,아산시,탕정면,아산 센트럴시티 도시개발사업,A1,동산리,충청남도,아산시,탕정면,동산리,137,-,블록,-,88647.6148,42820.9059,131468.5207,35,2,6,799,12,-,1.3,-,2027-12-30,-,2027-11-14,SKT,충청남도 아산시 탕정면 동산리 아산 센트럴시티 도시개발사업 A1,SKT,"101,102,103,104",36.82138709,127.0900644,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2405-1502,삼척 교동2차 공동주택 신축공사,트리븐 삼척,APT,500세대 미만,-,-,강원특별자치도,삼척시,교동,99,14,-,-,-,-,-,-,-,대지,-,45561.5174,19958.0422,65519.5596,29,3,4,359,8,-,1.3,-,2027-12-30,-,2027-11-14,RAPA,강원특별자치도 삼척시 교동 99 14,단독,해당없음,37.45223867,129.1768489,등록,-,-,-,-,미검증
