순번,RAPA식별코드,공사명,건물명/도로명,본부,시도,시군구,읍면동,주소,세대수,동수,관로동,위도,경도,폴리곤확보여부,단지건물수(폴리곤),건물데이터출처,도면보유여부,분석상태,종합커버리지(%),설치Site수,설치Sector수,분석소요시간(초),분석일시(KST),분석출처,특이사항/에러,사업년도,준공예정일,준공사
1,m-RAPA-2202-0846,대구 신암동 삼정그린코아 더베스트,신암동 삼정그린코아 더베스트,동부,대구광역시,동구,신암동,대구광역시 동구 신암동 225 4,850,10,"101,102,103,105,106,000",35.8815054,128.6229404,확보,10,dxf_extraction(m-RAPA-2202-0846.dxf 옥외배치도),보유,완료 (OK),65.2,4,9,1,2026-09-05 13:23:42,화면(수동),,2027,2027-12-30,SKT
2,m-RAPA-2208-4903,송도자이풍경채그라노블4단지아파트,송도자이풍경채그라노블4단지아파트,수도권,인천광역시,연수구,송도동,인천광역시 연수구 송도동 553,504,2,"14,011,402",37.378391,126.677678,확보,26,complex_polygon+buffer0.0015,미보유,완료 (OK),84.6,2,3,1,2026-08-23 02:03:57,화면(수동),,2027,2027-12-30,LGU+
3,m-RAPA-1811-6729,성남도환중1구역 도시환경정비사업(2BL),해링턴 플레이스 신흥역,수도권,경기도,성남시 중원구,중앙동,경기도 성남시 중원구 중앙동 912,640,6,상세참조,37.44064497,127.1494202,확보,404,complex_polygon+buffer0.0015,미보유,완료 (OK),59.9,12,25,374,2026-08-20 12:03:17,배치(자동),,2027,2027-12-30,SKT
4,m-RAPA-1909-5217,구리 딸기원2지구 2단지 주택재개발정비사업,중흥S-클래스 힐더포레,수도권,경기도,구리시,교문동,경기도 구리시 교문동 339,298,6,미지정,37.59979497,127.1189646,확보,144,complex_polygon+buffer0.0015,미보유,완료 (OK),61.5,5,14,381,2026-08-20 12:09:38,배치(자동),,2027,2027-12-30,RAPA
5,m-RAPA-1712-03-02-2847,행신 2-1구역 주택재건축 정비사업,행신한신더휴,수도권,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 173 1,272,4,미지정,37.6204766,126.8445206,미확보,0,error,미보유,실패 (NOK),,,,1,2026-08-23 11:11:15,배치(자동),유효한 건물 또는 단지 폴리곤 데이터가 없습니다 (key: m-RAPA-1712-03-02-2847),2027,2027-12-30,RAPA
6,m-RAPA-2004-1807,고랑동 광신프로그레스 공동주택 신축공사,북전주 광신프로그레스,서부,전북특별자치도,전주시 덕진구,고랑동,전북특별자치도 전주시 덕진구 고랑동 742,384,6,미지정,35.87489512,127.0848734,미확보,0,error,미보유,실패 (NOK),,,,1,2026-08-23 11:11:15,배치(자동),유효한 건물 또는 단지 폴리곤 데이터가 없습니다 (key: m-RAPA-2004-1807),2027,2027-12-30,RAPA
7,m-RAPA-2308-2831,수원당수 1지구 C3블록 공동주택 신축공사,-,수도권,경기도,수원시 권선구,금곡동,경기도 수원시 권선구 금곡동 수원당수 공공주택지구 C3,452,10,미지정,37.28062325,126.9453788,확보,39,complex_polygon+buffer0.0015,미보유,완료 (OK),72.8,3,7,45,2026-09-05 01:13:57,배치(자동),,2027,2027-12-30,RAPA
8,m-RAPA-1902-0701,무거동 공동주택 신축공사,무거 비스타동원,동부,울산광역시,남구,무거동,울산광역시 남구 무거동 822 1,481,4,미지정,35.54994042,129.2594716,확보,315,complex_polygon+buffer0.0015,미보유,완료 (OK),70.6,2,3,119,2026-09-05 07:40:25,배치(자동),,2027,2027-12-30,SKT
9,m-RAPA-2304-1562,아산탕정자이퍼스트시티아파트,아산탕정자이퍼스트시티아파트,중부,충청남도,아산시,탕정면,충청남도 아산시 탕정면 동산리 아산 센트럴시티 도시개발사업 A1,799,6,"101,102,103,104",36.82138709,127.0900644,확보,8,complex_polygon+buffer0.0015,미보유,완료 (OK),58.3,2,4,1,2026-08-27 13:28:11,화면(수동),,2027,2027-12-30,SKT
10,m-RAPA-2405-1502,삼척 교동2차 공동주택 신축공사,트리븐 삼척,수도권,강원특별자치도,삼척시,교동,강원특별자치도 삼척시 교동 99 14,359,4,미지정,37.45223867,129.1768489,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-12-30,RAPA
11,m-RAPA-2103-1631,구리인창센트레빌인더포레아파트,구리인창센트레빌인더포레아파트,수도권,경기도,구리시,인창동,경기도 구리시 인창동 515 1,244,3,미지정,37.60655063,127.1347744,확보,127,complex_polygon+buffer0.0015,미보유,완료 (OK),77.7,2,2,63,2026-09-05 13:27:11,배치(자동),,2027,2027-12-30,LGU+
12,m-RAPA-1908-4586,래미안송도역센트리폴3BL_아파트,래미안송도역센트리폴3BL_아파트,수도권,인천광역시,연수구,옥련동,인천광역시 연수구 옥련동 송도역세권구역 A3,1024,6,"301,303,305",37.430359,126.651239,확보,26,complex_polygon+buffer0.0015,미보유,완료 (OK),83.9,3,7,1,2026-08-23 01:56:03,화면(수동),,2027,2027-12-30,KT
13,m-RAPA-2202-1046,경기도 안양시 비산동 근린생활시설,경기도 안양시 동안구 비산동 354-10 근린생활시설 신축공사 관련 공식 건물명 또는 아파트명을 특정할 수 있는 공개 정보가 확인되지 않음.,수도권,경기도,안양시 동안구,비산동,경기도 안양시 동안구 비산동 354 10,0,1,1. 지상1층 : D.A 상부 인근,37.40224427,126.945087,확보,144,complex_polygon+buffer0.0015,미보유,완료 (OK),67.7,4,11,2466,2026-09-05 14:07:13,배치(자동),,2027,2027-12-30,RAPA
14,m-RAPA-2407-1893,흑석9 재정비촉진구역 주택재개발 정비사업,-,수도권,서울특별시,동작구,흑석동,서울특별시 동작구 흑석동 90,1548,20,"101,102,103,104,106,000,000,000,000,000",37.5048484,126.9623299,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-12-29,KT
15,m-RAPA-2202-0827,대전 중구 유천동 주상복합,유천 태영데시앙,중부,대전광역시,중구,유천동,대전광역시 중구 유천동 340 1,518,3,미지정,36.3156182,127.3895875,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-12-29,LGU+
16,m-RAPA-2312-4183,힐스테이트도안리버파크3단지아파트,힐스테이트도안리버파크3단지아파트,중부,대전광역시,유성구,학하동,대전광역시 유성구 학하동 대전 도안 2-2지구 도시개발사업 SA2,1639,14,"306,307,309,312,314",36.33467305,127.3217299,확보,63,complex_polygon+buffer0.0015,미보유,완료 (OK),67.5,4,10,451,2026-09-05 17:57:37,배치(자동),,2027,2027-12-28,LGU+
17,m-RAPA-2008-4501,장한평역청년주택아파트,장한평역청년주택아파트,수도권,서울특별시,성동구,용답동,서울특별시 성동구 용답동 231 1,1461,1,미지정,37.56063724,127.0634777,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-12-23,-
18,m-RAPA-2310-3747,23 원주무실 A-2BL 공동주택 건설공사,원주무실 A-2블록 공공분양주택,수도권,강원특별자치도,원주시,무실동,강원특별자치도 원주시 무실동 원주무실 공공지원민간임대주택 공급촉진지구 A-2,560,7,"201,203,205",37.31043411,127.921317,확보,24,complex_polygon+buffer0.0015,미보유,완료 (OK),62.4,2,5,59,2026-09-05 20:51:51,배치(자동),,2027,2027-12-21,KT
19,m-RAPA-2406-1649,화천화천 공동주택 복합개발사업 설계용역,-,수도권,강원특별자치도,화천군,화천읍,강원특별자치도 화천군 화천읍 하리 59 6,72,1,1. 지상1층: D.A 상부 외벽,38.1042008,127.7070866,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-12-20,RAPA
20,m-RAPA-2110-6771,고양장항 S-1BL 공동주택 건설공사,고양장항 S-1블록 공공분양주택,수도권,경기도,고양시 일산동구,장항동,경기도 고양시 일산동구 장항동 고양장항 공공주택지구 S-1,869,13,"103,105,106,109,111",37.64657497,126.7571057,확보,41,complex_polygon+buffer0.0015,미보유,완료 (OK),67.6,4,9,194,2026-09-05 20:54:06,배치(자동),,2027,2027-12-17,LGU+
21,m-RAPA-2304-1270,용인 은화삼지구 공동주택 신축공사 A2BL,용인 은화삼지구 푸르지오,수도권,경기도,용인시 처인구,남동,경기도 용인시 처인구 남동 126 1,1804,13,"20,022,003,200,420,000,000,000,000,000,000",-,-,미확보,0,,미보유,미분석,,,,,,,,2027,2027-12-16,SKT
22,m-RAPA-2110-6490,시흥거모지구 A-5BL 공동주택 건설공사,시흥거모 A-5BL 신혼희망타운,수도권,경기도,시흥시,계수동,경기도 시흥시 계수동 시흥거모 공공주택지구 A-5,435,6,미지정,37.34908222,126.7757981,확보,8,complex_polygon+buffer0.0015,미보유,완료 (OK),65.2,3,6,48,2026-09-05 20:52:39,배치(자동),,2027,2027-12-16,RAPA
23,m-RAPA-2206-3802,노량진 KT부지 역세권 청년주택 신축공사,노량진역세권청년주택,수도권,서울특별시,동작구,노량진동,서울특별시 동작구 노량진동 56 1,403,1,미지정,37.5131448,126.9412346,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-12-14,RAPA
24,m-RAPA-2203-1802,충남 논산시 취암동 141일원 공동주택 신축공사,논산오거리 지역주택조합 아파트,중부,충청남도,논산시,취암동,충청남도 논산시 취암동 141 1,429,7,미지정,36.194051,127.0962617,확보,146,complex_polygon+buffer0.0015,미보유,완료 (OK),72.9,2,4,189,2026-09-05 21:31:59,배치(자동),,2027,2027-12-09,RAPA
25,m-RAPA-2102-0689,제기1구역 주택재건축정비사업,경동미주아파트,수도권,서울특별시,동대문구,제기동,서울특별시 동대문구 제기동 892 68,351,2,미지정,37.57917944,127.0355941,확보,145,complex_polygon+buffer0.0015,미보유,완료 (OK),72.8,2,4,237,2026-09-05 21:32:46,배치(자동),,2027,2027-12-05,RAPA
26,m-RAPA-2204-1942,용인 남사(아곡)지구 7BL 공동주택 신축공사,-,수도권,경기도,용인시 처인구,남사면,경기도 용인시 처인구 남사면 아곡리 705,660,7,"704,705,706",37.15152423,127.1716072,확보,45,complex_polygon+buffer0.0015,미보유,완료 (OK),75.5,3,7,182,2026-09-05 21:35:01,배치(자동),,2027,2027-11-30,LGU+
27,m-RAPA-2303-1186,양주시 덕계지구 공동주택 개발사업,한신공영 양주 덕계동 아파트,수도권,경기도,양주시,덕계동,경기도 양주시 덕계동 707 1,724,7,"102,103,104,106",37.81391094,127.0437686,확보,121,complex_polygon+buffer0.0015,미보유,완료 (OK),61.9,2,5,205,2026-09-05 21:36:11,배치(자동),,2027,2027-11-29,SKT
28,m-RAPA-2209-5291,충청남도 천안시 서북구 두정동 양우내안애 신축공사,천안 두정역 양우내안애 퍼스트로,중부,충청남도,천안시 서북구,두정동,충청남도 천안시 서북구 두정동 393 11,418,6,미지정,36.83773775,127.1544275,확보,162,complex_polygon+buffer0.0015,미보유,완료 (OK),61.2,1,2,205,2026-09-05 21:38:26,배치(자동),,2027,2027-11-29,RAPA
29,m-RAPA-2303-1174,평택화양서희스타힐스센트럴파크2차아파트,평택화양서희스타힐스센트럴파크2차아파트,수도권,경기도,평택시,안중읍,경기도 평택시 안중읍 현화리 평택 화양지구 도시개발사업 공동3,815,8,"101,104,106,107",36.986095,126.90503,확보,39,complex_polygon+buffer0.0015,미보유,완료 (OK),64.2,2,6,175,2026-09-05 21:39:06,배치(자동),,2027,2027-11-29,LGU+
30,m-RAPA-2304-1556,평택브레인시티수자인아파트,평택브레인시티수자인아파트,수도권,경기도,평택시,장안동,경기도 평택시 장안동 평택 브레인시티 일반산업단지 공동8,900,6,"101,103,105",37.047327,127.095856,확보,22,complex_polygon+buffer0.0015,미보유,완료 (OK),67.8,2,5,51,2026-09-05 21:39:17,배치(자동),,2027,2027-11-29,LGU+
31,m-RAPA-2201-0300,파주운정 3 A블럭 공공지원 민간임대주택사업,파주 운정신도시 A3블록 공공지원민간임대주택,수도권,경기도,파주시,당하동,경기도 파주시 당하동 파주운정3 택지개발계획 A3,1222,11,"301,303,305,307,310,000",37.7391879,126.7579606,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-11-29,KT
